stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,32.69,4.09,0,36.78,4.09,0,0,0,0,4.09,0,0,0,0,4.09,8.17,20.43,98.07,0,0,4.09,69.47,1074.72,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,35.3,10.7,0,35.3,7.49,13.91,1.07,0,0,0,0,0,1.07,0,6.42,38.51,4.28,97.35,0,3.21,0,1851.81,696.43,1.07,10.7,65.26,1.07,1.07,110.19,0,6.42,1.07,0,0
21Day,21.42,2.68,1.34,50.86,2.68,18.74,10.71,0,0,0,0,0,10.71,2.68,6.69,17.4,5.35,144.56,0,30.79,0,538.09,269.05,1.34,17.4,50.86,14.72,0,40.16,2.68,18.74,1.34,0,5.35
3Month,0,1.92,0.32,7.04,0,0,0.96,0.64,1.28,0,3.84,0.96,0.32,0.64,0.96,0.32,0.96,7.68,0.64,1.6,0.32,1.6,2.24,0,0.32,0.64,0.32,6.4,0,0,0,0,1.28,0.64
22Month,0,1.09,0,1.64,0,0,0,0,1.09,0,6.01,0,0,0,0,0,0,7.11,1.64,1.09,0,0.55,0,1.64,0,0,0,1.64,2.73,1.09,0,0,0,0.55
