stage,Cardiomyocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,4.09,4.09,0,4.09,0
72hpf,1.07,0,2.14,0,0
21Day,1.34,0,0,0,1.34
