stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,2.14,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,9.37,0,1.34,38.82,25.43,0,16.06,0,2.68,0,1.34,1.34,670.61,1.34,4.02,10.71,10.71,22.76,0,4.02,0,36.14,14.72,0,0,0,14.72,18.74,2.68,2.68,1.34,8.03,2.68,0,0,104.41
3Month,0.64,2.56,0.32,20.48,0,3.52,0.64,2.88,4.16,0,16.96,7.68,33.91,6.08,1.28,7.68,13.44,14.4,0,0.96,0.96,0.64,0.32,2.56,0.96,0,0.64,4.8,27.2,0.32,0,0,0,1.92,9.28,463.61
22Month,0,6.01,1.09,8.75,0,1.64,0.55,2.19,20.23,0.55,24.05,3.28,1.64,0.55,1.09,2.19,10.93,7.65,0.55,0,0,0.55,0,1.64,2.73,1.64,0,0.55,21.32,0,0,0,0,0.55,0,215.38
