stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,32.69,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,44.95,0,0,0,4.09,167.54,0,0,8.17,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,3.21,2.14,0,1.07,0,0,0,0,0,0,0,3.21,7.49,0,11.77,1.07,0,0,35.3,31.02,1.07,0,7.49,1.07,0,2.14,0,0,0,0
21Day,5.35,0,0,9.37,1.34,6.69,10.71,0,1.34,0,1.34,0,2.68,0,1.34,1.34,4.02,16.06,0,1.34,0,18.74,18.74,1.34,0,8.03,1.34,0,4.02,0,0,0,0
3Month,0.32,0,0.64,17.92,0,0,0,2.88,2.88,0,12.48,2.56,1.92,14.08,2.24,1.28,4.8,2.88,0,1.92,0.64,0.96,0,1.6,0.32,0,1.28,5.44,0,0,0,1.28,10.56
22Month,0.55,2.73,3.83,19.68,0,0,0.55,3.83,15.85,1.64,83.64,4.92,6.01,19.13,1.09,1.64,13.12,7.11,1.09,1.64,0,1.09,0.55,3.83,0.55,0.55,0,2.73,0.55,0.55,1.09,0,11.48
