stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0.64,5.76,47.99,0.32,0.32,24.96,7.68,0,5.76,32.31,1.28,68.15,0.32,16.32,22.72,2.24,0.32,13.12,1.28,0,0.64,0.64,0.64,0.96,0.32,9.6
22Month,0.55,2.73,7.11,0,0,12.57,8.2,0.55,10.39,1.64,1.09,57.4,0.55,1.64,4.37,0.55,0,3.83,0,0.55,1.09,0.55,0,0,0,1.09
