stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,4.09,61.3,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,1.07,0,0,0,0,0,0,0,0,1.07,1.07,0,3.21,0,0,0,29.95,16.05,1.07,1.07,0,0,3.21,1.07,0,0,0
21Day,4.02,0,1.34,1.34,0,0,0,0,0,0,0,0,0,2.68,0,4.02,0,0,0,8.03,10.71,0,1.34,1.34,2.68,1.34,0,0,0,0
3Month,0,0.96,4.8,0,0.64,0.96,1.6,0,5.76,1.28,0.32,1.28,0.32,3.52,1.28,1.6,0.64,0,0.32,0.64,0.64,0,0,0,5.44,0.32,0,1.6,2.24,0.32
22Month,0,0,2.19,0,0,0.55,1.09,0.55,19.68,0.55,0.55,0,0,0,2.19,0,0,1.09,0,0,0,0,0,0.55,2.19,0.55,0,0,0,2.19
