stage,Epithelial_cell,Hatching_gland,Ionocyte,Keratinocyte,Muscle_cell,Neural_progenitor_cell
24hpf,0,4.09,4.09,8.17,0,8.17
72hpf,0,0,0,4.28,0,0
21Day,4.02,0,0,4.02,2.68,0
