stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,310.57,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,13.91,0,4.28,0,2.14,0,0,0,9.63,0,0,0,14.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,2.68,0,17.4,0,20.08,0,10.71,0,0,0,74.96,0,0,0,22.76,2.68,0,0,1.34,0,1.34,2.68,0,0,0,0,0,1.34,0,0,10.71
3Month,0.64,0,8,0,0,1.6,1.28,0.32,58.87,0,7.36,63.67,8.96,1.28,0,2.88,87.35,3.84,1.6,0.64,0,0.32,0.32,0,0.96,0,1.6,1.92,0.64,0,0.96,1.28,83.19
22Month,3.28,0.55,4.37,0.55,0,6.01,3.83,0,335.65,4.37,21.32,31.16,21.87,3.28,1.09,0,281.53,1.64,0.55,2.19,1.09,0,0,0,0.55,0.55,1.64,0,1.64,0.55,0,0,81.45
