stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,3.21,0,12.84,0,10.7,0,0,3.21,4.28,0,29.95,5.35,0,0,0,0,0,0,0
21Day,1.34,1.34,1.34,9.37,1.34,0,1.34,0,0,18.74,0,0,1.34,0,1.34,1.34,109.76,0,1.34,4.02,0,2.68,5.35,0,155.27,2.68,2.68,1.34,1.34,4.02,0,0,1.34
3Month,0.32,0.64,1.28,5.44,0,0.32,0,0.96,1.6,129.26,1.28,0.32,1.92,0.64,0.64,0.96,8.64,3.52,0.96,1.28,1.28,0.32,0.32,0.32,0,1.6,3.84,0,0,0,0.96,3.84,2.24
22Month,0.55,1.09,1.64,1.09,0,0,0,0.55,4.92,127.37,0.55,0.55,2.19,0,0.55,1.64,7.65,0,3.28,0,0,0,0,0,0,0,0.55,0.55,0,0,0.55,0,0.55
