stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,12.26,0,0,0,0,0,0,0,0,4.09,12.26,0,0,4.09,73.56,0,4.09,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,1.07,1.07,0,0,0,0,1.07,8.56,0,5.35,0,0,47.07,37.44,0,9.63,0,0,8.56,0,0,0,0,0
21Day,4.02,0,4.02,0,1.34,0,0,0,0,0,2.68,0,6.69,0,1.34,14.72,17.4,0,6.69,0,0,1.34,2.68,0,0,0,0
3Month,0,0.32,2.24,0,0,2.88,0.64,0.64,0.32,0,1.92,0,0.96,0.32,0.32,0,0.32,0.32,0,0.64,3.52,0.32,0,0.32,0.32,2.24,0.32
22Month,0,0,1.09,0,0,13.12,0,0,0.55,0,0,1.64,2.19,0,0,0,0,0,0,0,1.09,0,0,0,0.55,0,0
