stage,Endothelial_cell,Epithelial_cell,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell
72hpf,0,0,3.21,11.77,1.07,2.14
21Day,1.34,18.74,5.35,8.03,1.34,0
