stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,T_cell
72hpf,0,0,0,0,0,0,0,2.14,0,4.28,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,4.02,1.34,0,0,0
3Month,0,1.92,0.64,0.32,0.32,0,0.32,0,0,0,0,0.32,0,0.32
22Month,0.55,1.09,1.64,4.37,0,0.55,0.55,2.19,0.55,0.55,0,0,0.55,0
