stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,0,0,9.63,1.07,0,0,0,1.07,1.07,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0
3Month,0.32,5.44,0,0,0.96,1.6,5.76,1.28,1.92,0,0.32,0.96,2.88,0.32,0.32,0.96,0,0.32,0.64,1.6,220.13,0.32,0.32,53.43,0.96
22Month,0,0,0,0,0,0.55,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,37.72,0,0,0.55,0.55
