stage,Erythrocyte,Goblet_cell,Hepatocyte,Primordial_germ_cell,Spermatocyte
21Day,2.68,0,0,0,1.34
3Month,0,0.32,0.32,4.16,4.8
22Month,0,0,1.09,0,0
