stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,40.86,0,0,0,0,0,16.35,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,0,13.91,1.07,0,11.77,0,0,18.19,3.21,1.07,0,0,16.05,0,0,0,0,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,1.34,0,0,0,1.34,0,45.51,0,0,0,1.34,0,0,0,24.09,0,0,0,0,0,0
3Month,0,0.64,11.2,0,0.64,0.32,3.52,0,4.16,1.92,0.32,2.88,13.76,0.32,0,84.15,20.16,1.28,7.68,0,0,0.32,0,0.64,0.32,0.96,0.32,0.32,0.32,2.24
22Month,0,0,20.77,0,0.55,0,4.37,1.64,63.41,0.55,0,1.64,4.92,0,1.09,115.89,8.2,1.09,6.56,0.55,0,0,0.55,0,0.55,1.64,0,0,0,0
