stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,1.07,1.07,18.19,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,1.34,0,1.34,12.05,0,0,1.34,1.34,0,1.34,0
3Month,0,0.64,0,0,0,0,0.32,0,0,0,0,0,1.28,0,0,0,1.28,0.64
22Month,0,1.64,0,0.55,1.64,3.28,0.55,0,0.55,0,1.09,0,0,0.55,0,0.55,1.09,0
