stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,81.73,8.17,89.9,0,0,0,0,0,0,0,0,0,32.69,0,4.09,486.28,0,0,0,4.09,16.35,151.2,0,102.16,0,0,0,0,0,0,0
72hpf,54.56,5.35,18.19,8.56,11.77,0,0,0,0,0,0,0,4.28,21.4,1.07,767.04,0,2.14,1.07,0,78.09,58.84,1.07,805.55,1.07,0,8.56,1.07,0,2.14,0
21Day,103.07,2.68,25.43,2.68,6.69,0,0,0,0,4.02,0,4.02,0,16.06,4.02,317.23,0,0,13.39,0,8.03,9.37,0,117.79,4.02,0,2.68,2.68,1.34,0,1.34
3Month,0,2.56,0.96,0.32,0,0.32,0.32,0.32,0,12.48,0.32,0.64,0,0.64,0.96,12.48,6.72,0,1.6,0,0,0,0,0.32,0,0.32,0,0,0,0,0
22Month,0,0,1.09,0,0,0,0,0,1.64,72.71,0.55,0,0,1.09,1.09,49.2,0,1.64,0.55,0,0,0,0,0,0,0,0,0,0,0,0
