stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,24.52,4.09,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,69.47,0,0,0,8.17,249.27,0,0,4.09,0,0,0,0,0,12.26,0,0
72hpf,17.12,2.14,23.54,4.28,6.42,0,0,0,0,0,0,0,0,2.14,12.84,0,26.74,0,0,1.07,143.35,70.61,2.14,0,21.4,0,0,10.7,2.14,1.07,3.21,0,0
21Day,13.39,0,26.77,1.34,6.69,1.34,0,0,0,0,0,4.02,1.34,0,17.4,1.34,92.36,0,0,2.68,103.07,24.09,1.34,0,24.09,5.35,0,10.71,6.69,1.34,5.35,0,0
3Month,0,0,8.96,0,0,0,0.32,0,0,3.2,0.64,0,1.28,0.96,1.28,0.32,2.88,0,0,0.32,0,0,0.64,0.32,0,0.32,4.48,0,0,0,0,0.32,1.6
22Month,0,0,8.2,0,0,0,1.09,1.09,3.83,23.51,1.09,0.55,1.64,1.09,1.64,1.09,3.28,0.55,1.09,0.55,0,0,0.55,1.09,0,0,0,0.55,1.09,0,0,0,0
