stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,20.43,0,0,0,0,0,0,0,0,0,4.09,0,4.09,16.35,0,0,0,20.43,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,4.28,3.21,0,49.21,0,1.07,7.49,1.07,0,0,17.12,0,0,0,0,0
21Day,4.02,0,2.68,1.34,0,0,0,0,0,0,0,0,1.34,1.34,0,44.17,0,4.02,2.68,1.34,1.34,0,25.43,2.68,0,1.34,0,0
3Month,0.32,0,1.92,0,0.64,0.32,0.64,1.92,1.92,0.32,0,0.64,0.64,0.96,0,56.63,3.2,1.28,0.32,0,0.32,0,0,0,0.64,0,0.64,1.28
22Month,0,0.55,1.09,0,0,0,0,0.55,9.84,0,0.55,0,0,0.55,0,39.36,2.19,1.09,0,0,0,0.55,0,0.55,1.09,0,0,0
