stage,Epithelial_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cone_cell
24hpf,0,0,0,0,4.09,4.09,0,0
72hpf,1.07,0,7.49,0,0,2.14,0,0
21Day,0,0,13.39,0,0,2.68,1.34,1.34
3Month,0,0.32,0.64,0,0,0,0,0
22Month,0,0,3.83,0.55,0,0,0,0
