stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,37.48,0,0,0,0,0,0,0,0,1.34,6.69,0,1.34,0,0,13.39,0,1.34,1.34,0,0,0,0,0,0,0,0
3Month,0.32,0.32,107.5,0.32,1.6,1.92,0,4.8,2.88,0,5.12,3.84,5.44,0.96,2.88,0.96,0,148.14,1.6,0.32,0,0,0.64,2.56,2.24,0.96,0.64,0.64,1.6
22Month,1.64,0.55,111.52,0.55,3.28,0.55,0.55,11.48,1.09,0.55,5.47,1.64,0.55,0.55,1.09,0,1.64,132.29,0.55,0,0,0.55,0,0,2.73,0.55,0,0,0
