stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,20.43,0,0,4.09,143.02,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,5.35,1.07,0,0,0,0,0,0,1.07,0,2.14,6.42,1.07,14.98,1.07,0,80.23,53.49,0,0,5.35,1.07,0,2.14,0,2.14,0,0,0
21Day,4.02,0,13.39,0,0,2.68,0,0,0,0,4.02,0,1.34,8.03,2.68,12.05,0,0,28.11,22.76,0,0,8.03,1.34,0,1.34,1.34,0,0,0,1.34
3Month,0.32,0.96,3.2,0,0.32,0.32,0.64,0.64,6.08,1.28,0,1.28,0.32,1.6,1.28,0.64,0.32,0.64,0,0,0.32,0.32,0.32,0.32,1.92,0.32,0,0,0.32,1.28,0.96
22Month,0,0,1.09,0,0,0.55,0.55,1.09,11.48,0.55,0,0.55,0,1.09,2.19,1.64,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0.55
