stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,3.21,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,7.49,4.28,0,0,0,3.21,0,1.07,1.07,0,0,0,0
21Day,1.34,0,1.34,2.68,0,0,0,0,1.34,0,1.34,0,0,0,2.68,0,1.34,5.35,0,0,0,0,0,2.68,0,0,0,6.69,0,0,0,0,0,0,0
3Month,0,0.32,0,5.76,0,0,0.32,1.28,0.64,0,16,1.92,0.32,1.92,0.32,1.6,2.56,3.52,0.32,0,0.64,0.96,0,0.64,0.32,0.96,0,0,0.96,1.92,0,0,1.92,4.8,2.56
22Month,0,1.09,0,5.47,0.55,0,0,0.55,6.01,2.73,96.76,0,1.09,3.28,0,0,1.09,4.37,1.09,1.64,1.09,0,0.55,0,1.09,0.55,0.55,0,0.55,1.09,0,0.55,0,0,2.73
