stage,Epithelial_cell,Granulocyte,Hepatocyte,Muscle_cell,Nephron_cell,T_cell
21Day,1.34,0,0,0,0,0
3Month,0.64,0.32,0.96,0.32,0.32,0.64
22Month,0.55,0,1.09,0,0,0
