stage,Endothelial_cell,Epithelial_cell,Immune_cell,Keratinocyte,Macrophage,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,4.09,4.09,0,0
72hpf,0,0,0,0,0,1.07,0,0
21Day,0,2.68,0,1.34,0,0,0,0
3Month,0.32,0,0.64,0,0,0,0.96,0.64
