stage,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0,0,0,0,0,0
21Day,0,4.02,0,0,0,0,0,1.34,0,1.34,0,0,0,4.02,2.68,0,1.34,0,1.34,5.35,0,0,1.34
3Month,2.24,0,0.32,0.96,0.96,2.88,0.96,0.32,2.88,0.96,0.32,1.28,0.32,127.34,0.32,0.32,0.64,12.48,0,0,0.64,9.6,1.28
22Month,0.55,0,0,0,1.09,4.92,0.55,0,0,0,0,0,0,5.47,0,0,0,0.55,0,0,0.55,0,0
