stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,4.09,61.3,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,1.07,0,0,0,0,0,0,0,0,0,1.07,8.56,0,6.42,0,1.07,1.07,0,10.7,5.35,0,1.07,0,2.14,0,0,0,0
21Day,0,0,0,12.05,0,0,6.69,0,0,0,1.34,0,0,0,0,8.03,0,9.37,0,0,0,0,2.68,4.02,0,8.03,0,0,1.34,0,0,1.34
3Month,0,0.96,0.32,8,0,0.32,0,0.96,3.2,0,9.28,1.6,0.32,4.16,0.32,5.44,2.56,2.24,0.32,0,0.64,0.32,0.64,0,0,0,3.52,0,0,1.28,2.88,1.92
22Month,0,0.55,0.55,5.47,0,0,0,1.64,4.37,5.47,28.97,2.19,1.09,6.56,0,2.19,7.65,2.19,0,1.09,0.55,0,0.55,0,1.64,0.55,0,0.55,0,0.55,0,1.64
