stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,2.14,0,1.07,0,2.14,1.07,0,0,0,0,0
21Day,0,0,4.02,1.34,0,0,0,0,1.34,5.35,0,1.34,0,1.34,0,1.34,0,1.34,0,0
3Month,0,0.32,4.48,0,0.32,1.6,1.92,0.32,3.2,0,1.28,0.64,0.32,0,0,0,0.32,0,0.32,1.92
22Month,0.55,0.55,1.64,0,0.55,1.64,4.37,0,2.19,0.55,1.64,1.09,0,0.55,0,0,0,0,0,0.55
