stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
21Day,0,0,0,0,0,0,1.34,1.34,1.34,4.02,0,0,0
3Month,0,0.32,0.64,0.32,0,0.32,0,0.32,0.32,0,0.32,0.32,0
22Month,0.55,0,0,0,2.73,0,0,0,0.55,0,0,0,0.55
