stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,0,4.28,1.07,0,1.07,14.98,4.28,0,0,1.07,0,0,2.14,0,0,0,0,0
21Day,1.34,0,5.35,9.37,1.34,0,1.34,1.34,0,0,1.34,0,1.34,1.34,1.34,2.68,1.34,12.05,0,0,0,16.06,6.69,0,0,2.68,1.34,0,1.34,2.68,4.02,0,0,1.34
3Month,0,0.64,0.32,10.24,0,0.32,0,1.6,1.28,0,33.27,1.28,0,8,1.92,2.24,3.52,2.56,0,1.92,3.52,0.32,0,0.96,0.64,0,0.64,3.84,0.32,0,0,2.56,1.92,1.6
22Month,0,1.64,1.64,5.47,0,0,0,1.09,1.64,1.64,35.53,0.55,0.55,8.2,1.09,0.55,0.55,1.64,0.55,0,0.55,0,0,0,0,0,0,0,0,1.09,0,0,0,0
