stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,12.26,0,0,0,0,12.26,0,0,28.6,0,0,0
72hpf,2.14,1.07,0,2.14,1.07,0,0,0,23.54,0,2.14,3.21,20.33,0,1.07
21Day,0,0,1.34,4.02,0,0,0,1.34,48.19,1.34,2.68,0,25.43,4.02,0
3Month,0,0,0,0.96,0,0,0.32,0,0.96,0,0,0,0.32,0,0
22Month,0,0,0,0,0,1.09,1.64,0.55,0,0,0,0,0,0,0
