stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,4.09,8.17,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,5.35,0,0,11.77,1.07,0,0,5.35,0,5.35,2.14,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0
3Month,0,0.32,1.28,0,0.64,0,0,2.24,0.64,0.32,1.6,0,0.64,0.64,0.32,0,0,0,0,0.32,0.64,0,1.92,0,0,0.32,0.32
22Month,0.55,0,1.09,0.55,0,1.09,1.09,18.59,0,0,0.55,0,0,1.09,0.55,0.55,0,0,0,0,0,0,0.55,0,0,0,0.55
