stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,0,4.09,8.17,20.43,0,8.17,77.64,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,1.07,0,0,0,0,0,0,0,2.14,0,1.07,0,12.84,12.84,0,2.14,0,0,0,0,0,0
21Day,0,0,2.68,0,1.34,0,0,1.34,0,1.34,0,0,4.02,0,1.34,0,4.02,8.03,0,0,1.34,0,2.68,0,0,0
3Month,0.32,0.32,1.6,0.32,0.32,0.64,0.32,1.28,0.64,0,1.28,0.64,3.84,0.32,0.96,0.32,0,0,0,0,0,2.88,0,0,0.32,0.32
22Month,0.55,0,0.55,0,0.55,0,0.55,2.19,0,0,1.09,0,0,0,0,0,0,0,1.09,0,0,0,0,0.55,0,0
