stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,12.26,8.17,24.52,0,0,0,0,0,0,0,0,8.17,8.17,85.81,0,0,28.6,776.42,16.35,0,0,0,8.17,0
72hpf,3.21,2.14,9.63,1.07,1.07,1.07,0,0,1.07,0,10.7,7.49,0,13.91,0,0,9.63,18.19,7.49,0,0,0,0,0
21Day,8.03,0,13.39,0,1.34,2.68,0,0,0,0,1.34,4.02,0,29.45,0,1.34,8.03,16.06,8.03,1.34,0,2.68,0,0
3Month,0,0,0.64,0,0,0.32,0.32,0.64,0.32,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0.32
22Month,0,0.55,0,0,0,0.55,0,7.65,0,0.55,0,0,2.19,0.55,1.09,0,0,0,0.55,0,0,0,0,0
