stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Primordial_germ_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0
21Day,1.34,0,0,0,0,0,2.68,0,1.34,0,0,0,0,8.03
3Month,0.96,0,0,0,0.64,0.32,0.96,0.96,0.64,0.64,0,0,0.32,8.64
22Month,1.09,0.55,0.55,0.55,4.92,1.09,1.09,0,0,0,0.55,0.55,0,1.64
