stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,4.09,0,0,0,0,0,0,8.17,12.26,0,0
72hpf,0,2.14,0,0,1.07,0,2.14,1.07,1.07,1.07,1.07
21Day,0,0,0,0,0,1.34,0,2.68,0,0,1.34
22Month,0,0,2.19,1.09,0,0,0,0,0,0,0
