stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0
3Month,0.32,1.92,0.32,0,2.24,0.64,2.56
