stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,4.09,0,8.17,0,4.09,0,0,0,0,12.26,4.09,12.26,0,40.86,0,0,0,0
72hpf,0,1.07,0,1.07,0,0,0,0,0,1.07,0,0,6.42,3.21,1.07,0,0,0
21Day,0,0,0,0,2.68,0,0,1.34,0,0,1.34,2.68,2.68,1.34,0,0,0,0
3Month,0,0,0.64,0,0,0.64,0.64,0.32,0.32,0,0,0,0,0,0,0.96,0.32,0.64
22Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0
