stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Osteoblast,Primordial_germ_cell,T_cell
21Day,0,1.34,0,0,0,0,0,4.02,0,0,0,1.34,0,0
3Month,0,13.76,0.32,4.48,0.32,1.28,0,8,0,0.64,0,0,0.32,0.32
22Month,0.55,15.31,0.55,10.39,0.55,0,0.55,7.65,1.09,1.09,0.55,0.55,0,0.55
