stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,0,0
72hpf,0,0,0,0,0,1.07,0,8.56,0,1.07,0,0
21Day,1.34,1.34,0,0,0,2.68,1.34,4.02,0,2.68,2.68,1.34
22Month,0,0.55,2.73,0.55,0.55,1.09,0,0,0,0,0,0
