stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,1.07,0,0,0,0,0,0,0,2.14,0,0,0,1.07,1.07,0,0,0,5.35,2.14,0,0,2.14,0,0,3.21,0,0,0,0
21Day,1.34,0,6.69,0,2.68,1.34,0,0,0,0,0,72.28,0,1.34,4.02,2.68,2.68,0,2.68,0,2.68,1.34,0,0,0,4.02,0,0,1.34,0,0,40.16
3Month,0,1.28,6.72,0,0,0,0,0.96,0,4.8,4.16,3.2,2.56,0.32,2.56,3.84,1.92,0.64,0.32,0.32,0,0,0.32,0.32,0,0,1.92,0,0,0.32,0.32,46.39
22Month,0.55,0,1.64,0,0,0,1.09,3.83,0.55,5.47,0,2.19,1.09,0,0,2.73,1.09,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,10.39
