stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,16.35,0,4.09,77.64,4.09,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,2.14,1.07,3.21,0,12.84,14.98,1.07,0,0,0
21Day,0,0,2.68,0,0,0,1.34,1.34,0,1.34,1.34,5.35,2.68,9.37,1.34,0,0
3Month,0,0.32,1.92,0.64,5.44,0.32,0,0,0.32,0.64,1.28,0.32,0,0,0,0.32,0.64
