stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,20.43,0,0,0,0,0,4.09,0,0,0,0,4.09,4.09,12.26,32.69,0,0,0,0,4.09,1540.57,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,8.56,2.14,0,7.49,0,12.84,0,1.07,0,0,0,0,0,0,4.28,14.98,1.07,10.7,0,0,0,0,138,384.06,1.07,3.21,19.26,0,0,449.31,1.07,0,3.21,0,0,0
21Day,4.02,0,0,4.02,0,0,0,0,0,0,0,0,1.34,0,0,4.02,1.34,4.02,0,0,0,0,12.05,48.19,0,1.34,2.68,1.34,2.68,50.86,1.34,1.34,0,0,0,0
3Month,0.32,0,0.64,5.44,0,0,0.96,1.28,0,0,14.08,3.2,0,5.12,0.32,1.6,3.84,1.92,0.32,0,0.32,0.32,1.92,0.32,2.88,0.64,0,3.2,304.91,1.92,0,0,0.96,3.2,233.88,4.48
22Month,1.09,0.55,0,4.92,0.55,0,0.55,2.19,1.09,0,56.85,1.64,0.55,3.28,0,0,2.73,5.47,0,1.64,0.55,0,0.55,1.09,1.09,0,0,0.55,43.73,0.55,0.55,0,0.55,0,0,0.55
