stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,20.43,0,0,0,0,12.26,0,0,0,0,0,8.17,0,0,0
72hpf,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0,1.07,0,1.07,0,0,0,1.07,0,0,0
21Day,0,36.14,0,0,0,0,0,0,9.37,0,2.68,0,0,0,0,1.34,0,1.34,1.34,1.34,0,0,0,0,1.34
3Month,0.32,23.36,0,3.2,4.16,0.32,6.4,0,8,0.64,1.28,0.32,0.32,0.32,0.64,0,0,0,0,14.08,0.32,0,0.64,0.96,0.64
22Month,0,0.55,0.55,2.73,4.37,0.55,4.37,0,0,1.09,1.09,0,0,0,0,0,0.55,0,0,3.28,0,0,0,0,0.55
