stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,1.07,3.21,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,10.71,1.34,0,0,0,0,0,0,0,0,0,1.34,46.85,0,1.34,1.34,0,0,0,0,0,2.68,1.34,0,0,0,0,0
3Month,0,1.28,0.32,27.52,0,0,0.32,2.24,4.16,0.32,8.64,4.48,0.96,8,1.28,5.12,4.48,2.24,1.28,1.92,0.64,0,0.96,0.32,0,0.64,3.84,0,0.64,0.64,5.76
22Month,0,1.64,3.28,17.49,0,0.55,0,3.28,10.39,5.47,22.96,4.37,2.19,6.01,0.55,1.09,12.03,1.64,2.19,0,0.55,0,0.55,0.55,0.55,0,1.09,0.55,0,0,5.47
