stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,776.42,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,4.09,106.25,0,0,0,0,0,0,0,0,0,0
72hpf,1299.8,0,1.07,5.35,0,0,1.07,0,0,0,0,0,1.07,11.77,2.14,6.42,0,1.07,1.07,56.7,35.3,0,0,6.42,0,0,8.56,0,0,0,0
21Day,669.27,1.34,13.39,6.69,1.34,0,0,0,0,0,1.34,1.34,0,6.69,1.34,18.74,0,0,4.02,24.09,12.05,0,0,4.02,5.35,0,0,6.69,1.34,0,0
3Month,12.48,2.24,1.28,0,0,0,0.64,0,2.88,0.96,0.32,0.64,0,0.64,0.64,1.6,0.32,0,3.52,0,0,0,0,0,0,0.32,0,0,0,0.96,0.64
22Month,2.19,0.55,2.73,0,0,0.55,1.09,0.55,32.25,2.19,1.09,3.83,0,0,1.64,2.19,0,1.09,0.55,0,0,0.55,0.55,0,0,0.55,1.09,0,0.55,0,1.09
