stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,12.26,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,12.26,24.52,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,1.07,4.28,3.21,0,0,0,0,0,0,0,0,0,1.07,4.28,1.07,1.07,0,0,0,128.37,16.05,0,0,3.21,0,0,1.07,2.14,0,0,0
21Day,1.34,0,2.68,5.35,1.34,0,1.34,0,0,0,0,0,0,1.34,0,2.68,0,4.02,0,0,1.34,77.63,5.35,2.68,1.34,2.68,2.68,0,0,0,0,0,0
3Month,0,0,14.72,7.04,0,1.28,14.08,0,0.32,0.32,2.24,0,1.6,1.92,2.88,4.8,1.92,3.84,0.64,0,0,8.64,0.64,0.64,0.64,0.64,0,5.44,0.32,0,0,3.52,2.24
22Month,0.55,1.09,8.75,4.92,0,0.55,3.83,1.64,3.28,0,3.83,0.55,3.83,0,2.73,0.55,3.83,2.19,0,0.55,0,9.84,0,2.19,0.55,0,0,14.76,1.09,0,1.09,0,0
