stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,4.09,4.09,0,0,0,0,0,0,4.09,8.17,0,0,81.73,0,0,0,0
72hpf,0,5.35,0,0,0,0,1.07,3.21,1.07,5.35,1.07,44.93,20.33,1.07,2.14,0,0
21Day,1.34,5.35,1.34,4.02,0,0,0,4.02,0,9.37,0,18.74,9.37,0,1.34,2.68,2.68
3Month,0,0.64,0,0,0.64,0.32,0,0,0,0,0,0,0,0,0,0,0
