stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,3.21,1.07,1.07,0,1.07,3.21
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0
3Month,0,0.32,0.64,0,0,1.6,0.32,0.96,0.32,0,0,1.28,0,0,0
22Month,0,0,0,0,0.55,1.09,0,1.64,0,0,0,0.55,0,0,0
