stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,2.14,0,0,0,5.35,2.14,0,0,0,0,0
21Day,1.34,0,4.02,1.34,0,1.34,0,56.22,2.68,2.68,4.02,0,0,1.34,2.68,1.34,0,1.34,0,0
3Month,0,0.32,0,0,0.64,2.24,1.28,0,0,4.48,0.96,4.48,1.6,0,0,0,0.32,0,0.32,1.92
22Month,0,0,0.55,0,1.09,0.55,0.55,0,0,3.28,3.83,0.55,0,0,0,0,0,0,0,1.09
