stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell
24hpf,4.09,0,0,0,0,0,0,0
3Month,0,0.32,0.64,2.24,0.32,1.28,0.32,0
22Month,0,0,1.09,1.09,0,0.55,0,0.55
