stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,4.09,12.26,0,0,0,4.09,0,0,0,0,0,16.35,77.64,0,0,0,32.69,612.96,4.09,0,0,4.09,0
72hpf,1.07,1.07,2.14,2.14,0,0,0,0,0,0,1.07,2.14,0,9.63,0,0,0,69.54,192.56,2.14,0,6.42,1.07,0
21Day,0,0,6.69,16.06,6.69,1.34,0,0,2.68,0,0,0,0,2.68,0,0,0,5.35,14.72,2.68,0,0,0,1.34
3Month,0,0,0,0,0,0.32,0,3.2,0,0.64,0,0,0,0,0,0,0.32,0,0,0,1.28,0,0,0
22Month,0,0,1.09,0,0,0,0,29.52,0,1.09,0,0,0,1.09,0.55,0.55,0,0,0,0,1.64,0,0,0
