stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,16.35,0,0,0,0,0,20.43,0,0,0,0,4.09,4.09,8.17,24.52,0,0,0,16.35,204.32,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,0,0,0,6.42,8.56,0,1.07,0,0,0,0,0,0,0
21Day,2.68,0,0,0,10.71,1.34,0,0,0,0,1.34,0,0,1.34,0,2.68,0,1.34,0,0,1.34,1.34,4.02,0,0,0,0,0,0,0,0,0
3Month,0,1.28,0.32,1.6,0,0,0.32,1.6,0,0,41.91,0.32,0,5.12,0.32,1.6,0.96,0.96,0.64,0.32,0,0,0,0.32,0,1.92,2.88,0,0,0.64,0.96,0.64
22Month,0.55,1.09,0,1.09,0,0,0,3.28,0.55,0,21.32,0,0.55,4.92,0,0,3.28,8.2,0.55,1.09,0,0,0.55,0,0,0,1.64,0.55,0,0,0,0
