stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.73,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,3.21,0,0,0,0,0,0,0,0,0,1.07,3.21,0,1.07,0,2.14,0,0,11.77,6.42,0,2.14,0,0,0,0,0,0
21Day,6.69,0,0,12.05,2.68,2.68,0,0,0,0,0,4.02,0,0,2.68,157.95,1.34,0,0,1.34,0,9.37,5.35,0,1.34,1.34,0,0,0,0,0
3Month,0,1.28,0,20.8,0,0,0.64,1.6,0,38.39,1.6,0.96,9.92,1.92,3.84,111.66,1.6,0.64,0,0.32,1.6,0.64,0,0.64,0,0.96,7.68,0.32,1.6,1.92,3.2
22Month,0,1.64,0.55,11.48,0,0,1.09,3.83,2.73,79.26,0,1.09,15.31,1.64,1.09,49.75,8.75,0.55,7.11,0,0,1.09,0,0.55,0.55,0.55,1.09,1.64,0,0,1.64
