stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,3.21,0,1.07,0,0,0,0,0,0,0,1.07,4.28,0,1.07,0,0,0,1.07,2.14,0,0,0,2.14,0,0,1.07,0,0,0
21Day,1.34,0,8.03,1.34,0,0,0,0,0,0,0,0,1.34,0,0,6.69,0,2.68,0,9.37,0,0,0,0,1.34,2.68,0,0,0,0,0
3Month,0.32,0,3.52,0,0,0,0.96,0,3.84,0.64,0,1.28,0.64,1.28,0.32,0.64,0.32,0,0.32,0,0,0.32,0.64,0,0,1.28,0.32,0,0.32,0.32,0.96
22Month,1.09,0.55,4.37,0,0,0.55,2.73,1.09,23.51,0,1.09,4.37,0,0,0.55,1.09,0,0,0,1.09,0,1.09,0,0.55,0,0.55,0,0,0.55,0,0.55
