stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,2.14,0,0,0,0,0,0,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,2.68,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,0,0.32,0.96,11.84,0.96,0,2.24,2.24,0,340.75,1.28,0,7.68,0.64,2.24,0.96,1.6,0.64,0.96,0.96,0.96,0.32,0,0.96,0.96,0,5.44,2.56,1.28,0.64,1.6
22Month,0.55,0.55,0,16.95,1.64,0.55,3.28,1.09,0.55,462.47,0.55,1.09,2.73,0,0,0.55,1.09,0,14.21,0,0.55,0,0,1.64,0.55,0.55,1.64,1.09,0,0,0
