stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,36.78,0,130.76,0,0,0,0,0,0,0,49.04,0,0,0,0,98.07,208.41,12.26,20.43,0,0,0,4.09,98.07,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,47.07,6.42,5.35,0,1.07,0,0,0,0,0,0,1.07,0,54.56,300.61,13.91,3.21,1.07,0,1.07,35.3,9.63,1.07,0,0,2.14,0,0,1.07,1.07,3.21,0,0,0,0,0
21Day,12.05,4.02,6.69,539.43,6.69,18.74,0,2.68,4.02,6.69,0,0,4.02,0,49.53,26.77,99.05,546.12,120.47,10.71,0,8.03,2.68,29.45,18.74,4.02,1.34,0,17.4,25.43,0,2.68,1.34,21.42,24.09,1.34,0,0,34.8
3Month,0,9.6,3.2,86.71,0.64,0,0.64,0.96,21.12,7.68,0.32,0,13.76,80.95,1.92,50.23,46.71,26.24,26.56,6.4,0,7.04,8.96,1.92,0.32,1.6,0,0,0.32,1.28,0.64,31.04,0.32,0,0,0,1.6,33.27,48.95
22Month,0,13.67,1.09,48.65,0,0,0.55,0,14.21,9.29,17.49,0,69.43,10.93,1.64,98.4,4.37,9.84,16.95,4.37,2.19,2.19,1.09,1.09,0,4.92,0.55,1.09,0.55,0,0,15.31,0,0.55,0,0,0,0.55,18.59
