stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,3.21,1.07,0,0,0,0,0,0,0,0,3.21,0,1.07,0,0,0,1.07,165.82,19.26,0,0,0,1.07,0,0,2.14,10.7,8.56,0,0,0
21Day,1.34,0,0,0,4.02,0,0,0,0,0,0,0,0,1.34,0,0,5.35,0,0,0,0,28.11,6.69,1.34,0,0,1.34,1.34,0,1.34,6.69,10.71,0,0,1.34
3Month,0,0.64,0.32,9.92,0,0,0.96,2.24,0.32,22.72,3.2,0.64,4.16,0.96,3.84,2.56,3.84,2.56,0,0.64,1.92,0.32,0.32,1.6,0.32,0,0,2.24,4.8,0,0,0,0.32,13.12,1.6
22Month,0,6.56,0,8.2,0,0,1.09,7.65,4.37,107.69,2.19,1.64,8.2,0,0,7.65,6.56,0,1.09,0,0,0.55,0.55,1.64,1.09,0.55,0,0.55,4.37,0,2.19,0,0,0,2.19
