stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell
72hpf,0,0,0,0,0,1.07,0,0,1.07
21Day,1.34,0,0,1.34,0,0,0,0,0
3Month,0.32,0,0.64,0,0.32,0,0,0.32,0.32
22Month,0.55,1.64,9.29,0,0,0,0.55,0,0
