stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,4.09,32.69,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,4.28,3.21,0,0,0,0,0,0,0,0,0,1.07,5.35,2.14,4.28,0,2.14,1.07,0,7.49,23.54,0,0,4.28,0,0,1.07,0,0,0,0,0
21Day,9.37,1.34,12.05,2.68,5.35,5.35,0,0,1.34,2.68,0,2.68,0,2.68,5.35,0,18.74,0,0,5.35,0,8.03,17.4,0,0,6.69,1.34,0,6.69,0,1.34,0,0,0
3Month,0,1.28,19.52,0.96,0,0.32,2.24,2.88,0,20.8,2.24,2.56,11.2,3.52,11.2,6.4,12.48,6.08,0,1.6,1.28,0.32,0,1.28,1.28,0.64,0.32,5.12,1.28,0,0.32,1.28,0.64,2.88
22Month,0,1.64,4.37,0.55,0,0.55,3.28,2.73,2.73,30.07,1.64,2.73,8.2,0.55,2.19,4.92,8.2,0,1.09,0.55,0,0,0,2.73,2.19,0,0,1.09,1.64,1.09,0,0,0,1.64
