stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,8.17,0,0,0,0,0,4.09,0,44.95,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,2.68,0,0,0,13.39,0,0,0,8.03,0,0,5.35,1.34,4.02,0,0,0,0,4.02,0,0,0,1.34,0,0,0,0,0,0,0,2.68
3Month,0.64,0.32,0.96,26.56,0.32,1.28,5.12,228.12,0,35.83,3.52,0.64,13.44,0.64,501.36,10.56,3.2,0.64,0,1.92,0.64,1.28,0.32,0.32,0.64,0.32,3.2,14.08,0.32,0,0.32,0.96,3.2,3.52
22Month,0,0.55,0,2.73,0.55,3.28,0.55,500.74,1.09,18.04,2.19,0,2.19,0,0,3.83,2.19,0,1.09,0.55,0,0,0,0.55,0,1.09,0,2.73,0,0.55,0,0,0,0.55
