stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,69.47,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,2.14,0,0,0,0,0,0,0,0,0,0,0,0,2.14,2.14,0,4.28,0,0,100.56,3.21,2.14,1.07,5.35,0,0,2.14,4.28,1.07,7.49,0,0
21Day,0,0,6.69,4.02,1.34,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,22.76,4.02,1.34,0,0,1.34,0,1.34,0,1.34,0,0,1.34
3Month,0,0,7.68,0.32,0,0,0.32,0.64,0,0,3.52,0.32,0.64,0.96,0.32,3.52,0.32,1.6,0.32,0.64,9.92,0,0.64,0.32,0.32,0.32,1.28,0.32,0,0,0.32,44.47,1.92
22Month,0,0.55,0.55,0,0,0.55,0,0.55,0.55,0,4.37,0.55,0,1.09,0,1.09,1.09,0.55,0,0,0,0,0,0,0,0,1.09,0.55,0,0,0,0,0.55
