stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,28.6,0,0,4.09,0,0,0,0,0,0,0,0,0,0,24.52,4.09,8.17,0,0,0,4.09,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,1.07,0,0,0,0,0,0,0,2.14,2.14,0,0,0,0,0,8.56,0,3.21,0,0,0,2.14,0,1.07,0,0,0,0,0,0
21Day,0,0,0,1.34,1.34,1.34,0,0,0,0,0,0,0,0,1.34,1.34,4.02,0,0,0,0,0,2.68,0,0,0,0,1.34,16.06,1.34,0,0,0,0,0
3Month,0.64,0.32,0.32,11.84,0,0,0.32,2.88,1.92,0,15.36,4.16,5.12,1.6,2.88,3.2,6.4,0.64,0,0.96,14.4,1.6,0,0.96,0.32,0,0,3.52,689.81,1.28,0.32,0.32,2.24,120.94,1.6
22Month,0,0.55,1.09,2.73,0,0,0,0.55,1.09,1.09,24.05,1.64,2.73,0,1.09,1.64,4.37,0.55,1.64,0.55,0,0,0,0.55,0,31.71,0.55,0.55,111.52,0,0.55,0,0,0,1.09
