stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,0,0,0,0,0,0,0,0,2.14,0,0,10.7,1.07,5.35,0,0,0,0,35.3,1.07,0,1.07,0,0,0,0,0,0,0,0
21Day,1.34,0,0,10.71,4.02,0,0,0,0,0,0,1.34,9.37,0,1.34,4.02,4.02,5.35,0,0,0,0,5.35,1.34,0,0,1.34,0,1.34,0,1.34,0,0,13.39
3Month,0.32,2.24,0.32,23.04,0,0.64,0,2.88,17.28,0,11.52,71.03,2.56,1.6,1.28,11.84,11.2,3.52,0.32,0.32,0.32,1.6,0,0,1.28,0.64,0.96,0.64,3.84,0.32,0,0.96,1.6,62.39
22Month,0.55,0.55,0,10.39,0,0,0.55,1.64,41,1.64,26.24,21.87,3.28,0.55,2.19,3.28,16.4,3.83,0,0,0,0,0,0,2.19,0,0.55,0,1.64,0.55,0,0,0,30.07
